Date,000001.SS_Open,000001.SS_High,000001.SS_Low,000001.SS_Close,000001.SS_Volume,BA_Open,BA_High,BA_Low,BA_Close,BA_Volume,BRICS_Views,BRICS_7D_Momentum,BRICS_30D_Shock,CL=F_Open,CL=F_High,CL=F_Low,CL=F_Close,CL=F_Volume,Cyberwarfare_Views,Cyberwarfare_7D_Momentum,Cyberwarfare_30D_Shock,Economic_sanctions_Views,Economic_sanctions_7D_Momentum,Economic_sanctions_30D_Shock,GC=F_Open,GC=F_High,GC=F_Low,GC=F_Close,GC=F_Volume,GD_Open,GD_High,GD_Low,GD_Close,GD_Volume,Inflation_Views,Inflation_7D_Momentum,Inflation_30D_Shock,LMT_Open,LMT_High,LMT_Low,LMT_Close,LMT_Volume,NATO_Views,NATO_7D_Momentum,NATO_30D_Shock,NG=F_Open,NG=F_High,NG=F_Low,NG=F_Close,NG=F_Volume,NOC_Open,NOC_High,NOC_Low,NOC_Close,NOC_Volume,Nuclear_weapon_Views,Nuclear_weapon_7D_Momentum,Nuclear_weapon_30D_Shock,OPEC_Views,OPEC_7D_Momentum,OPEC_30D_Shock,Recession_Views,Recession_7D_Momentum,Recession_30D_Shock,RTX_Open,RTX_High,RTX_Low,RTX_Close,RTX_Volume,Semiconductor_Views,Semiconductor_7D_Momentum,Semiconductor_30D_Shock,South_China_Sea_Views,South_China_Sea_7D_Momentum,South_China_Sea_30D_Shock,Taiwan_Strait_Views,Taiwan_Strait_7D_Momentum,Taiwan_Strait_30D_Shock,United_States_Armed_Forces_Views,United_States_Armed_Forces_7D_Momentum,United_States_Armed_Forces_30D_Shock,URA_Open,URA_High,URA_Low,URA_Close,URA_Volume,Vladimir_Putin_Views,Vladimir_Putin_7D_Momentum,Vladimir_Putin_30D_Shock,World_War_III_Views,World_War_III_7D_Momentum,World_War_III_30D_Shock,Xi_Jinping_Views,Xi_Jinping_7D_Momentum,Xi_Jinping_30D_Shock,ZW=F_Open,ZW=F_High,ZW=F_Low,ZW=F_Close,ZW=F_Volume,^FTSE_Open,^FTSE_High,^FTSE_Low,^FTSE_Close,^FTSE_Volume,^GSPC_Open,^GSPC_High,^GSPC_Low,^GSPC_Close,^GSPC_Volume,^N225_Open,^N225_High,^N225_Low,^N225_Close,^N225_Volume
2015-01-02,3258.627,3369.281,3253.8833,3350.519,531400.0,114.63681,115.31026,112.90505,113.65723,4294200.0,0.0,0.0,0.0,53.76,55.11,52.03,52.69,268708.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,1194.5,1169.5,1186.0,138.0,108.50815,108.96265,107.48161,108.49247,1111700.0,0.0,0.0,0.0,141.99138,143.75055,141.20786,142.88574,902100.0,0.0,0.0,0.0,2.845,3.096,2.805,3.003,109122.0,123.52588,124.2506,120.40212,122.0015,2042000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.63341,55.87499,54.98594,55.58508,4989619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94457,16.09951,15.78964,16.09951,35750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.75,591.0,574.75,581.25,38997.0,6566.0996,6607.9004,6510.6,6547.8,367562200.0,2058.9,2072.36,2046.04,2058.2,2708700000.0,17325.68,17540.92,17219.22,17408.71,116500000.0
2015-01-05,3258.627,3369.281,3253.8833,3350.519,531400.0,113.40358,113.63097,112.48522,112.87006,5024800.0,0.0,0.0,0.0,52.61,52.73,49.68,50.04,375782.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.3,1206.9,1180.1,1203.9,470.0,108.10849,108.63351,106.08675,106.22779,1437100.0,0.0,0.0,0.0,142.58269,143.76534,139.40433,139.91434,1506200.0,0.0,0.0,0.0,3.076,3.176,2.875,2.882,141783.0,121.1601,122.00977,118.6611,119.42746,5765000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34833,55.78802,54.52208,54.65738,7572062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.00091,16.1136,15.50793,15.59244,95800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.75,597.5,579.0,589.0,45078.0,6547.8,6576.7,6404.5,6417.2,728001100.0,2054.44,2054.44,2017.34,2020.58,3799120100.0,17325.68,17540.92,17219.22,17408.71,116500000.0
2015-01-06,3330.799,3394.224,3303.184,3351.446,501700.0,112.87004,113.36857,110.35987,111.54061,4992800.0,0.0,0.0,0.0,50.0,50.37,47.55,47.93,451642.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.5,1220.0,1203.5,1219.3,97.0,106.4002,107.05061,105.1464,106.35319,2766800.2,0.0,0.0,0.0,140.15826,141.17091,138.07387,139.2565,1205800.0,0.0,0.0,0.0,2.921,2.955,2.811,2.938,111338.01,119.50255,121.61837,117.9365,120.08565,3121100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.24667,54.61872,53.26098,53.88428,9172185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62061,15.76146,15.45159,15.69104,141300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,603.5,586.0,591.75,52463.0,6417.2,6452.7,6328.6,6366.5,769463100.0,2022.15,2030.2499,1992.44,2002.6099,4460110000.0,17101.58,17111.36,16881.73,16883.19,166000000.0
2015-01-07,3326.649,3374.896,3312.211,3373.9543,391900.0,112.59892,113.6747,112.58142,113.27237,3573200.0,0.0,0.0,0.0,48.0,49.31,46.83,48.65,460083.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.2,1219.2,1210.6,1210.6,29.0,106.40798,107.09757,105.76542,105.94565,2067200.1,0.0,0.0,0.0,139.93655,141.19312,139.86264,141.05267,941900.0,0.0,0.0,0.0,2.949,3.012,2.825,2.871,134826.0,120.82693,123.97567,120.68532,123.88404,2369900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28532,54.76367,54.12587,54.46893,4929396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84598,16.05726,15.57836,15.8178,111950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.25,594.5,578.5,579.5,46079.0,6366.5,6459.7007,6366.5,6419.8,688211500.0,2005.55,2029.6099,2005.55,2025.9,3805480000.0,16808.26,16974.61,16808.26,16885.33,138600000.0
2015-01-08,3371.957,3381.5657,3285.095,3293.456,371100.03,114.22572,115.44145,114.05079,115.27527,4503400.0,0.0,0.0,0.0,48.78,49.65,47.73,48.79,362081.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.0,1215.7,1206.3,1208.4,92.0,106.67448,108.58652,106.5491,108.50032,3858400.0,0.0,0.0,0.0,141.10437,145.52452,141.10437,144.231,1950900.0,0.0,0.0,0.0,2.877,2.968,2.816,2.927,147797.0,124.81704,127.56595,124.79205,126.75793,3466300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.04392,55.56575,54.74434,55.39664,6196941.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93049,16.02908,15.84597,15.90232,72250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,581.0,565.75,567.0,49560.004,6419.8,6580.8,6419.8,6570.0,882740160.0,2030.6099,2064.08,2030.6099,2062.14,3934010000.0,17067.4,17243.71,17016.09,17167.1,140600000.0
2015-01-09,3276.965,3404.834,3267.509,3285.412,410199.97,115.09158,115.67758,114.51433,115.04785,3056400.2,0.0,0.0,0.0,48.92,49.61,47.16,48.36,421007.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.1,1220.2,1210.3,1216.0,43.0,108.42978,109.3231,107.654,108.89996,3032700.0,0.0,0.0,0.0,144.20135,145.66489,144.0018,144.14963,1439500.0,0.0,0.0,0.0,2.959,2.99,2.888,2.946,107333.0,126.99114,127.98241,126.44969,127.23272,1891200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53192,55.62856,54.78298,55.09222,6078084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9164,15.9164,15.67695,15.73329,81500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,574.0,561.75,563.75,54780.0,6570.0,6570.2,6471.4,6501.1,738488500.0,2063.45,2064.43,2038.33,2044.81,3364140300.0,17318.74,17342.65,17129.53,17197.73,155200000.0
2015-01-12,3258.213,3275.185,3191.582,3229.316,322100.0,115.66011,115.6776,113.65722,114.46187,3552700.0,0.0,0.0,0.0,48.19,48.19,45.62,46.07,394946.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.2,1234.4,1219.1,1232.7,100.0,109.38579,109.39363,107.77152,108.06146,1386200.0,0.0,0.0,0.0,144.51184,145.04404,143.18138,143.74313,896400.0,0.0,0.0,0.0,2.917,2.934,2.783,2.795,130404.0,127.27435,127.94076,125.60835,126.5913,1588700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30482,55.44494,54.60904,55.29999,7970742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74738,15.81781,15.50793,15.57836,85500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,567.0,554.0,555.5,74233.0,6501.1,6542.4,6447.9004,6501.4,602313100.0,2046.1301,2049.3,2022.58,2028.26,3456460000.0,17318.74,17342.65,17129.53,17197.73,155200000.0
2015-01-13,3223.542,3259.386,3214.412,3235.301,230699.98,115.45019,117.12072,113.84962,114.72425,3441700.0,0.0,0.0,0.0,45.69,46.79,44.2,45.89,476541.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.2,1239.3,1230.3,1234.3,20.0,109.32308,110.29478,107.11327,107.97525,1722100.0,0.0,0.0,0.0,144.9775,146.67755,142.42003,143.65442,1095000.0,0.0,0.0,0.0,2.815,2.971,2.795,2.943,137906.0,127.47424,129.09859,125.74993,126.61625,1487900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.82182,56.4548,54.84098,55.24684,6668080.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6347,15.6347,14.94451,15.11354,127349.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5,566.75,547.25,548.0,61834.0,6501.4,6558.8,6465.2,6542.2,673572900.0,2031.58,2056.93,2008.2499,2023.03,4107300000.0,16970.88,17087.71,16828.27,17087.71,149200000.0
2015-01-14,3242.337,3268.483,3193.978,3222.437,240200.0,112.85255,114.82919,112.78258,114.03329,3559500.0,0.0,0.0,0.0,46.16,48.91,45.01,48.48,510252.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.6,1243.8,1225.6,1234.4,21.0,106.92046,108.48692,106.58198,108.11696,1258800.0,0.0,0.0,0.0,143.5066,143.57314,141.64395,142.82658,1101100.0,0.0,0.0,0.0,2.954,3.337,2.932,3.233,233230.02,125.54172,127.0078,124.15894,126.70792,1401800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.68153,55.1647,54.41578,54.85064,5575483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.00086,15.07128,14.3811,14.52196,390400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,549.75,536.0,537.75,66809.0,6542.2,6542.2,6353.7007,6388.5,971256800.0,2018.4,2018.4,1988.44,2011.27,4378680000.0,16961.82,17036.72,16770.56,16795.96,148500000.0
2015-01-15,3224.07,3337.0837,3207.545,3336.455,282500.0,113.91959,115.30149,113.43855,113.82338,3902000.0,0.0,0.0,0.0,48.6,51.27,46.07,46.25,478340.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.5,1265.0,1227.3,1264.7,130.0,108.75459,109.00648,107.63682,108.40037,1481499.9,0.0,0.0,0.0,143.51404,143.93535,141.8066,142.19095,896600.0,0.0,0.0,0.0,3.301,3.352,3.057,3.158,219150.98,127.11614,127.91582,125.88329,126.87457,1453800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1647,55.41596,54.62838,54.85064,5038083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66281,14.83184,14.46562,14.64872,77550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.5,545.0,528.0,532.75,59519.0,6388.5,6498.8,6298.2,6498.8,980049600.0,2013.7501,2021.35,1991.47,1992.67,4276720000.0,16872.95,17141.98,16856.22,17108.7,147700000.0
